Title,Album Name,Artist Name,Duration,Track Number,Release Date,Popularity,Track ID,Available Markets,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Artist Followers,Artist_genre,Artist_popularity,Included in Top 10,Recommendation Song Id,Recommendation Song,Recommnedation artist
Creep,Pablo Honey,Radiohead,238640,2,1993-02-22,1,6b2oQwSGFkzsMtQruIWm2p,0,0.515,0.43,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,8713899,alternative rock,79,True,6LOiWgNOqduROYlkxFy2bQ,Adderall - Rough Demo,Slipknot
Black Swan,The Eraser,Thom Yorke,289826,4,2006-07-10,0,4VbV8Zyjuu1qz0QteX1wVC,0,0.613,0.791,-7.293,1,0.0336,0.0469,0.708,0.128,0.509,101.066,970782,alternative rock,55,True,7gTMsKyhm6vuUWoxRaFpsJ,Never as Tired as When I'm Waking Up,LCD Soundsystem
Two Thousand and Seventeen,New Energy,Four Tet,252255,2,2017-09-29,58,2ZIaH69kaz55RM4Pjx6KXl,184,0.551,0.469,-8.393,1,0.0296,0.327,0.161,0.0939,0.498,75.495,678038,electronica,63,True,4R57uZUgbb81z9Gv97K5cY,Great Day (Four Tet Remix),Madvillain
High And Dry,The Bends,Radiohead,257480,3,1995-03-28,0,5jafMI8FLibnjkYTZ33m0c,0,0.418,0.383,-11.782,1,0.0257,0.0718,0.0177,0.0896,0.352,87.773,8713899,alternative rock,79,False,3SyzUB8LeQxplnbWTVYTVj,11-Nov,Team Sleep
Karma Police,OK Computer,Radiohead,264066,6,1997-05-28,0,3SVAN3BRByDmHOhKyIDxfC,0,0.36,0.505,-9.129,1,0.026,0.0626,9.22e-05,0.172,0.317,74.807,8713899,alternative rock,79,True,4le6DvrwMv2rpyN1SPeL0g,Sappy - Early Demo,Kurt Cobain
Roads,Dummy,Portishead,303973,8,1994-01-01,64,2sW8fmnISifQTRgnRrQTYW,184,0.607,0.294,-11.836,1,0.0764,0.778,0.162,0.106,0.192,76.083,1830554,alternative rock,60,True,5wV6fTRIBubEotV5pjpF3T,Le Monde,Thievery Corporation
Glory Box,Dummy,Portishead,308626,11,1994-01-01,72,3Ty7OTBNSigGEpeW2PqcsC,184,0.51,0.434,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,1830554,alternative rock,60,True,6Z1ezsoUv1yi8JHqL6bA69,Shadows of Ourselves,Thievery Corporation
Teardrop,Mezzanine,Massive Attack,330773,3,1998-01-01,72,67Hna13dNDkZvBpTXRIaOJ,184,0.615,0.419,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,2060103,downtempo,63,True,3vGhQoG6IalBCxkEr6Aw6v,Big Calm,Morcheeba
Paradise Circus,Heligoland,Massive Attack,297774,7,2010-02-08,64,2BndJYJQ17UcEeUFJP5JmY,182,0.81,0.591,-13.385,1,0.0638,0.414,0.799,0.072,0.297,136.028,2060103,downtempo,63,True,753xFobxoB4Y7jOu160vH4,Little By Little - Caribou Rmx,Radiohead
What Else Is There?,The Understanding,Röyksopp,317173,7,2005-06-22,59,2cTOee6bTauDFK1QuDS1BD,177,0.704,0.927,-7.157,1,0.0437,0.185,0.108,0.325,0.342,114.995,872241,downtempo,59,True,5VRkJsYcf9z4Wni19FxICi,Gorecki,Lamb
